10:02:07, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:02:32, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:02:57, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:03:22, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:03:47, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:04:12, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:04:37, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:05:02, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:05:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:05:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:06:18, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:06:43, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:07:08, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:07:33, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:07:58, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:08:23, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:08:48, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:09:13, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:09:38, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:10:04, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:10:29, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:10:54, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:11:19, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
